,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio
0,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,0.5038428905284782,1.0,0.4545454545454547,0.013769063669991524,0.7175925925925928,0.7174654290585338,0.3925721000832395,0.4933973589435775,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,https://p.scdn.co/mp3-preview/2bbcf481555f012987ea9f5fd3f771a3f2710922?cid=18308f0d5b8049c89ee330d9cfa4bc58
1,As It Was,ハリー・スタイルズ,2022-05-20,0.34688227209351946,0.8771929824561404,0.28760330578512405,0.3836758292029884,0.6388888888888888,0.737355559765107,0.7671252999069677,0.6278511404561826,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/f0c2adc40766cd8c1ec3f2bc6e1cc293a77ba684?cid=18308f0d5b8049c89ee330d9cfa4bc58
2,Me Porto Bonito,バッド・バニー,2022-05-06,0.4027716444792871,0.9649122807017545,0.9338842975206613,0.10088519418701901,0.6095679012345678,0.7594241333585906,0.09855718226182897,0.34333733493397356,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/8513b15fb5b39966d8eccaa7b8c050c7a570e6e8?cid=18308f0d5b8049c89ee330d9cfa4bc58
3,Tití Me Preguntó,バッド・バニー,2022-05-06,0.726025969901906,0.9473684210526316,0.5024793388429752,0.11121339522769753,0.6141975308641976,0.7506156469028225,0.21825066509980584,0.05762304921968786,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/a174cca3a21422be508f4e108ea1c04114e42538?cid=18308f0d5b8049c89ee330d9cfa4bc58
4,DESPECHÁ,ROSALÍA,2022-07-28,0.29584551034280865,0.9298245614035088,0.9471074380165291,0.20630020263481388,0.4722222222222223,0.6253078234514112,0.40892621064486134,0.7635054021608645,https://open.spotify.com/track/5ildQOEKmJuWGl2vRkFdYc,https://i.scdn.co/image/ab67616d0000b2738f072024e0358fc5c62eba41,https://p.scdn.co/mp3-preview/c9bada701f6ef03ef67d5ae0e8ff8bde40499313?cid=18308f0d5b8049c89ee330d9cfa4bc58
5,La Bachata,Manuel Turizo,2022-05-26,0.32373065530090656,0.9122807017543859,0.8082644628099175,0.6542297912468495,0.558641975308642,0.7382079939382459,0.3676573797515873,0.8535414165666266,https://open.spotify.com/track/5ww2BF9slyYgNOk37BlC4u,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,https://p.scdn.co/mp3-preview/296da587969e145427d963bbe0680d9a25f61db8?cid=18308f0d5b8049c89ee330d9cfa4bc58
6,Pink Venom,BLACKPINK,2022-08-19,0.44443562352077254,0.824561403508772,0.7471074380165291,0.02241331888882028,0.5864197530864197,0.56677401022921,0.08244789371460293,0.7274909963985595,https://open.spotify.com/track/0skYUMpS0AcbpjcGsAbRGj,https://i.scdn.co/image/ab67616d0000b273797b37e01334a0897825d8b1,なし
7,Efecto,バッド・バニー,2022-05-06,0.5739229238715697,0.9298245614035088,0.7520661157024796,0.1580270890751208,0.24382716049382713,0.4097366925554081,0.14786433596108972,0.11404561824729892,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/10a488c0e8056119b63f2d51e6507a6c1ac4235b?cid=18308f0d5b8049c89ee330d9cfa4bc58
8,I Ain't Worried,ワンリパブリック,2022-05-13,0.2535116924099811,0.894736842105263,0.5917355371900826,0.09246546507777023,0.7407407407407409,0.6815684788785755,0.490182637222739,0.823529411764706,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,なし
9,I'm Good (Blue),デヴィッド・ゲッタ,2022-08-26,0.38625391359574485,0.736842105263158,0.35537190082644643,0.004035856819699921,1.0,0.8950558817957947,0.3926292252199318,0.19807923169267705,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4,https://p.scdn.co/mp3-preview/f387f0bdbce0f044f7bf9e2e6a87f59cd78f20a4?cid=18308f0d5b8049c89ee330d9cfa4bc58
