,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred
0,Good Time,アウル・シティー,2012-01-01,0.3453991751737481,0.78,0.4446022727272729,0.0252075548054854,0.8894173602853745,0.7789839339991316,0.5247424212403409,0.6832332058984163,https://open.spotify.com/track/1kPpge9JDLpcj15qgrPbYX,https://i.scdn.co/image/ab67616d00004851cf5459850259268f98b07f7a,なし,5
1,California Gurls,ケイティ・ペリー,2010-01-01,0.4367919604898042,0.43,0.7684659090909094,0.0039358925012733,0.7479191438763377,0.8194384136633377,0.5161151839376528,0.3784817039868924,https://open.spotify.com/track/6bUKd5y4eThkXvfJFSAUJ1,https://i.scdn.co/image/ab67616d0000485127271ebe78e28a2ff83eaa47,なし,5
2,What Makes You Beautiful,ワン・ダイレクション,2011-10-28,0.324014790865813,0.0,0.6789772727272729,0.0086241245414554,0.7776456599286565,0.9070053553336228,0.5160739052902714,0.916985253959585,https://open.spotify.com/track/1T07kafGtJbDvosN0nu4Q2,https://i.scdn.co/image/ab67616d0000485136d38e3cf2ebac3fb7094b05,なし,6
3,That's What I Like,ブルーノ・マーズ,2016-11-17,0.3478176472085741,0.84,0.8607954545454546,0.0136721757449923,0.5184304399524378,0.7289043276885222,0.5909203487220132,0.8776624795193884,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5,https://p.scdn.co/mp3-preview/dff97adc200a31774425d79cec92ad0e117ce2be?cid=18308f0d5b8049c89ee330d9cfa4bc58,1
4,What Do You Mean?,ジャスティン・ビーバー,2015-11-13,0.3445940785621547,0.79,0.8494318181818183,0.6243064617912792,0.5267538644470868,0.5004342162396873,0.5162390198797966,0.8044784270890225,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs,https://i.scdn.co/image/ab67616d00004851f46b9d202509a8f7384b90de,なし,8
5,Stay With Me,サム・スミス,2014-01-01,0.2397183116519437,0.49,0.4446022727272729,0.5502260458064612,0.3626634958382878,0.6343899261832392,0.1861419325011558,0.1141452758055707,https://open.spotify.com/track/7876ppTxozBmoZ2EZZqV1i,https://i.scdn.co/image/ab67616d00004851899983dd29114e8b29fb051b,なし,4
6,Shake It Off,テイラー・スウィフト,2014-10-27,0.3876174231816908,0.6,0.5681818181818183,0.0683858544080652,0.803804994054697,0.698292082790563,0.8056683838583978,0.9672310212998362,https://open.spotify.com/track/1CiVz2WkmZRwhU3A6J2Gjz,https://i.scdn.co/image/ab67616d000048510432bfd9e6adb616fd8bcc97,なし,6
7,Live While We're Young,ワン・ダイレクション,2012-11-09,0.3271110715103995,0.0,0.5838068181818183,0.0664809294255984,0.8478002378121283,0.9386307714575192,0.5244534707086719,0.9606772255598034,https://open.spotify.com/track/6aGjEZ7kq3YXgD0EDt80O5,https://i.scdn.co/image/ab67616d00004851ddacff8ec2f8f34ed56957cf,なし,6
8,What the Hell,アヴリル・ラヴィーン,2011-03-08,0.3921552404470355,0.0,0.4602272727272727,0.004655530827983,0.9607609988109396,0.8216094948617745,0.7225827224093524,0.8820316766794102,https://open.spotify.com/track/4KBKK8JuXzJaPmiz8ZGwy3,https://i.scdn.co/image/ab67616d000048519060dc2974c461fdeb28e25c,なし,6
9,Bad Romance,レディー・ガガ,2009-01-01,0.6274693872355592,0.0,0.6377840909090908,0.0032374200077022,0.9476813317479194,0.8161817918656824,0.4665477841622086,0.718186783178591,https://open.spotify.com/track/1CZOrmHUUjeDP7N2B4Ba6S,https://i.scdn.co/image/ab67616d000048514aea834a7b3878bd43a8a4b4,なし,5
10,Lucky Strike,マルーン５,2012-01-01,0.2797185662279474,0.6,0.6051136363636365,0.0005567672407087,0.7395957193816884,0.7612534375452309,0.6730400898223368,0.4254505734571273,https://open.spotify.com/track/4rpzPAbwJboZQw2p9T5T3f,https://i.scdn.co/image/ab67616d00004851fc8633e22a7dba6aab817bff,なし,7
11,Shut Up and Dance,ウォーク・ザ・ムーン,2014-12-02,0.3235915582597184,0.8300000000000001,0.4701704545454545,0.0073330087200057,0.882282996432818,0.8126356925749023,0.5411548114391389,0.6144183506280722,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,https://i.scdn.co/image/ab67616d0000485143294cfa2688055c9d821bf3,https://p.scdn.co/mp3-preview/78558b79e4571208d3bf6e6a80d06e3f23511abd?cid=18308f0d5b8049c89ee330d9cfa4bc58,5
12,Sorry,ジャスティン・ビーバー,2015-11-13,0.3290203915378936,0.0,0.5781250000000002,0.0842602292619548,0.756242568370987,0.822405557967868,0.3092266032626642,0.3861277990169306,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,https://i.scdn.co/image/ab67616d00004851b6d9a4fbb0bd49f0f034aead,なし,5
